20-191-1                      	   ;				                   ;                                   ;                                   ;                                   ;                                   ;                             
1Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык
2Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык
3Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык
4Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык
5Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык
6Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык
7Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык
8Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык
20-191-2			               ;                                   ;                                   ;                                   ;                                   ;                                   ;                             
Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык
Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык
Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык
Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык
Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык
Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык
Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык
Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык 7-411;Математика,7-402/Русский язык
